LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
10690,5,7,1920,672,1344,1,468,147000
9500,6,5,1963,1394,1394,2,514,159000
9150,6,5,1962,1099,1431,1,296,165000
7800,5,6,1954,1268,1268,1,244,132000
9830,5,7,1959,1063,1287,2,576,162000
8121,6,5,2000,953,1664,2,460,172400
17120,4,4,1959,0,1588,2,680,134432
7175,6,5,1984,744,752,1,264,125000
10634,5,6,1953,608,1319,1,270,123000
8200,7,5,2003,847,1928,2,434,219500
10020,1,1,1922,683,904,0,0,61000
8846,5,5,1996,870,914,2,576,148000
11143,8,5,2004,1580,2466,2,610,340000
11394,9,2,2010,1856,1856,3,834,394432
8123,6,5,2000,982,1800,2,463,179000
5000,5,6,1924,1026,1691,1,308,127000
7200,7,5,2006,1293,1301,2,572,187750
9245,7,5,2006,939,1797,2,639,213500
9000,6,3,1928,784,784,2,360,76000
53107,6,5,1992,1580,1953,2,501,240000
3182,8,5,2004,1256,1269,2,430,192000
8410,5,3,1910,658,1184,0,0,81000
7200,6,6,1976,1041,1125,1,352,125000
9382,7,5,1999,1468,1479,2,577,191000
12474,10,5,2007,1682,2332,3,846,426000
8405,5,8,1900,861,1367,1,384,119000
12209,6,5,2001,804,1961,2,560,215000
8339,5,7,1959,0,882,1,294,106500
7446,4,5,1941,788,788,0,0,100000
10134,5,6,1940,735,1034,1,240,109000
9571,5,6,1956,1144,1144,1,596,129000
7200,5,5,1972,894,894,2,600,123000
7590,5,5,1962,864,1812,1,264,169500
8967,5,2,1920,961,1077,1,338,67000
8125,7,5,2006,1092,1550,2,438,241000
14963,8,5,1996,1260,1288,2,500,245500
8767,7,5,2005,1310,1310,2,400,164990
10200,5,8,1940,672,672,1,240,108000
12090,8,5,1998,1141,2263,2,420,258000
10364,6,5,1995,806,1572,2,373,168000
9991,4,4,1976,1281,1620,2,490,150000
10480,6,5,1936,1064,1639,1,240,115000
15576,6,7,1915,840,1680,1,308,177000
14154,7,5,2006,1063,2172,3,947,280000
10800,8,5,2007,1034,2078,3,836,339750
9571,5,3,1958,1276,1276,1,350,60000
34650,5,5,1955,1056,1056,2,572,145000
4403,7,5,2009,1470,1478,2,484,222000
8960,5,6,1927,1008,1028,2,360,115000
11228,7,5,1993,1080,2097,3,678,228000
8899,7,5,2007,1340,1340,2,396,181134
7844,6,7,1978,672,1400,2,440,149500
22420,6,6,1918,1370,2624,3,864,239000
8160,5,6,1940,756,1134,1,240,126000
8450,5,6,1968,1056,1056,1,304,142000
7060,7,5,1997,1344,1344,4,784,206300
16635,6,7,1977,1602,1602,2,529,215000
21750,5,5,1954,988,988,2,520,113000
9200,8,5,1998,1470,2630,3,696,315000
9000,6,5,1956,1196,1196,1,297,139000
3378,7,8,1946,651,1389,1,240,135000
12800,7,5,1989,1518,1644,2,569,275000
8593,4,6,1957,907,907,1,352,109008
6762,7,5,2007,1208,1208,2,628,195400
11457,6,5,1988,1392,1412,2,576,175000
1680,6,5,1971,483,987,1,264,85400
5586,6,7,1920,901,1198,0,0,79900
1920,5,5,1971,765,1365,2,440,122500
10839,6,5,1997,926,1604,2,470,181000
1890,4,7,1972,630,630,0,0,81000
10667,7,6,1996,799,1661,2,550,212000
4400,6,8,1920,648,1118,2,440,116000
6000,6,7,1926,884,904,1,180,119000
4280,5,6,1913,440,694,1,352,90350
12354,6,8,1920,684,1196,2,528,110000
15431,10,5,2008,3094,2402,3,672,555000
12108,4,4,1955,1440,1440,0,0,118000
6240,5,7,1930,1078,1573,2,360,162900
3922,7,5,2006,1258,1258,3,648,172500
8750,7,5,1994,915,1908,2,493,210000
9855,6,5,1956,1436,1689,2,480,127500
16492,6,6,1966,1517,1888,2,578,190000
11214,7,5,1998,930,1886,2,431,199900
8600,6,6,1937,780,1376,1,198,119500
6000,3,7,1948,649,1183,1,308,120000
5684,6,8,1930,813,813,1,270,110000
70761,7,5,1975,1533,1533,2,576,280000
9303,6,5,1996,872,1756,2,422,204000
9000,8,5,2008,768,1590,2,676,210000
9297,5,5,1976,1728,1728,2,560,188000
9600,7,6,1973,1242,1242,2,528,175500
